service_date,total_rides
09/29/2002,654059
09/30/2002,1682761
10/01/2002,1752391
10/02/2002,1708715
10/03/2002,1756012
10/04/2002,1651678
10/05/2002,1011012
10/06/2002,646285
10/07/2002,1728760
10/08/2002,1725582
10/09/2002,1713298
10/10/2002,1727956
10/11/2002,1732782
10/12/2002,945308
10/13/2002,731020
10/14/2002,1348875
10/15/2002,1721982
10/16/2002,1682085
10/17/2002,1675890
10/18/2002,1702359
10/19/2002,988503
10/20/2002,646934
10/21/2002,1690224
10/22/2002,1692769
10/23/2002,1648619
10/24/2002,1656837
10/25/2002,1655907
10/26/2002,957215
10/27/2002,630941
10/28/2002,1669579
10/29/2002,1661923
10/30/2002,1676738
10/31/2002,1635452
11/01/2002,1697214
11/02/2002,960506
11/03/2002,630126
11/04/2002,1706107
11/05/2002,1607733
11/06/2002,1690738
11/07/2002,1730706
11/08/2002,1642221
11/09/2002,959406
11/10/2002,639992
11/11/2002,1299579
11/12/2002,1666942
11/13/2002,1671206
11/14/2002,1581543
11/15/2002,1672961
11/16/2002,914224
11/17/2002,598343
11/18/2002,1638199
11/19/2002,1697068
11/20/2002,1664428
11/21/2002,1605082
11/22/2002,1649870
11/23/2002,984441
11/24/2002,595578
11/25/2002,1594729
11/26/2002,1571352
11/27/2002,1530987
11/28/2002,443472
11/29/2002,1043665
11/30/2002,780419
12/01/2002,549342
12/02/2002,1565588
12/03/2002,1629737
12/04/2002,1614060
12/05/2002,1613040
12/06/2002,1620405
12/07/2002,945889
12/08/2002,598787
12/09/2002,1569738
12/10/2002,1632112
12/11/2002,1625241
12/12/2002,1618350
12/13/2002,1621332
12/14/2002,979487
12/15/2002,651647
12/16/2002,1581218
12/17/2002,1568856
12/18/2002,1511791
12/19/2002,1610531
12/20/2002,1550838
12/21/2002,898744
12/22/2002,598533
12/23/2002,1294561
12/24/2002,941589
12/25/2002,334393
12/26/2002,1033393
12/27/2002,1169471
12/28/2002,764693
12/29/2002,561278
12/30/2002,1243513
12/31/2002,1249488
01/01/2003,495463
01/02/2003,1242621
01/03/2003,1377565
01/04/2003,826158
01/05/2003,554972
01/06/2003,1557485
01/07/2003,1563218
01/08/2003,1604570
01/09/2003,1566113
01/10/2003,1531499
01/11/2003,756529
01/12/2003,518385
01/13/2003,1559434
01/14/2003,1535205
01/15/2003,1511682
01/16/2003,1537195
01/17/2003,1558130
01/18/2003,773493
01/19/2003,500216
01/20/2003,980047
01/21/2003,1544983
01/22/2003,1484524
